instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,jenis_penyewa
1,2011-01-01,Spring,2011,Jan,0,Not Holiday,Saturday,Holiday,Clear,0.24,0.2879,0.81,0.0,3,13,16,Night Riders
2,2011-01-01,Spring,2011,Jan,1,Not Holiday,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,8,32,40,Night Riders
3,2011-01-01,Spring,2011,Jan,2,Not Holiday,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,5,27,32,Night Riders
4,2011-01-01,Spring,2011,Jan,3,Not Holiday,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,3,10,13,Night Riders
5,2011-01-01,Spring,2011,Jan,4,Not Holiday,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,0,1,1,Night Riders
6,2011-01-01,Spring,2011,Jan,5,Not Holiday,Saturday,Holiday,Mist,0.24,0.2576,0.75,0.0896,0,1,1,Morning Riders
7,2011-01-01,Spring,2011,Jan,6,Not Holiday,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,2,0,2,Morning Riders
8,2011-01-01,Spring,2011,Jan,7,Not Holiday,Saturday,Holiday,Clear,0.2,0.2576,0.86,0.0,1,2,3,Morning Riders
9,2011-01-01,Spring,2011,Jan,8,Not Holiday,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,1,7,8,Morning Riders
10,2011-01-01,Spring,2011,Jan,9,Not Holiday,Saturday,Holiday,Clear,0.32,0.3485,0.76,0.0,8,6,14,Morning Riders
11,2011-01-01,Spring,2011,Jan,10,Not Holiday,Saturday,Holiday,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Morning Riders
12,2011-01-01,Spring,2011,Jan,11,Not Holiday,Saturday,Holiday,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Morning Riders
13,2011-01-01,Spring,2011,Jan,12,Not Holiday,Saturday,Holiday,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Afternoon Riders
14,2011-01-01,Spring,2011,Jan,13,Not Holiday,Saturday,Holiday,Mist,0.46,0.4545,0.72,0.2985,47,47,94,Afternoon Riders
15,2011-01-01,Spring,2011,Jan,14,Not Holiday,Saturday,Holiday,Mist,0.46,0.4545,0.72,0.2836,35,71,106,Afternoon Riders
16,2011-01-01,Spring,2011,Jan,15,Not Holiday,Saturday,Holiday,Mist,0.44,0.4394,0.77,0.2985,40,70,110,Afternoon Riders
17,2011-01-01,Spring,2011,Jan,16,Not Holiday,Saturday,Holiday,Mist,0.42,0.4242,0.82,0.2985,41,52,93,Afternoon Riders
18,2011-01-01,Spring,2011,Jan,17,Not Holiday,Saturday,Holiday,Mist,0.44,0.4394,0.82,0.2836,15,52,67,Afternoon Riders
19,2011-01-01,Spring,2011,Jan,18,Not Holiday,Saturday,Holiday,Light_snow,0.42,0.4242,0.88,0.2537,9,26,35,Evening Riders
20,2011-01-01,Spring,2011,Jan,19,Not Holiday,Saturday,Holiday,Light_snow,0.42,0.4242,0.88,0.2537,6,31,37,Evening Riders
21,2011-01-01,Spring,2011,Jan,20,Not Holiday,Saturday,Holiday,Mist,0.4,0.4091,0.87,0.2537,11,25,36,Evening Riders
22,2011-01-01,Spring,2011,Jan,21,Not Holiday,Saturday,Holiday,Mist,0.4,0.4091,0.87,0.194,3,31,34,Evening Riders
23,2011-01-01,Spring,2011,Jan,22,Not Holiday,Saturday,Holiday,Mist,0.4,0.4091,0.94,0.2239,11,17,28,Evening Riders
